census_year,area_code,area,household_type,annual_household_income_band,Total - weekly rent paid by household,Under $200,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 - $699,$700 - $799,$800 and over,Total stated - weekly rent paid by household,Not elsewhere included
2023,02,Auckland Region,Two-family household (with or without other people),"$150,001-$200,000",2244,282,111,129,189,357,471,336,360,2235,9
2023,02,Auckland Region,Three or more family household (with or without other people),"$150,001-$200,000",153,30,6,9,12,21,18,27,30,150,0
2023,02,Auckland Region,Other multi-person household,"$150,001-$200,000",2769,111,96,96,213,474,612,504,657,2760,9
2023,02,Auckland Region,One-person household,"$150,001-$200,000",960,15,18,60,171,237,231,123,108,960,3
2023,02,Auckland Region,Total stated - household composition,"$150,001-$200,000",25089,1116,690,1032,2337,5430,6447,4122,3852,25029,60
2023,02,Auckland Region,Household composition unidentifiable,"$150,001-$200,000",471,99,27,24,48,72,87,45,60,465,3
2023,02,Auckland Region,Total - household composition,"$200,001 or more",25272,948,681,747,1254,2829,4608,4410,9705,25179,93
2023,02,Auckland Region,One-family household (with or without other people),"$200,001 or more",15459,411,345,396,771,1800,3024,2814,5841,15408,51
2023,02,Auckland Region,Two-family household (with or without other people),"$200,001 or more",4032,240,144,189,231,504,726,708,1275,4014,18
2023,02,Auckland Region,Three or more family household (with or without other people),"$200,001 or more",576,48,24,33,27,45,87,84,222,576,3
2023,02,Auckland Region,Other multi-person household,"$200,001 or more",3987,129,126,75,117,291,543,633,2061,3978,9
2023,02,Auckland Region,One-person household,"$200,001 or more",639,9,6,27,48,102,129,99,216,636,3
2023,02,Auckland Region,Total stated - household composition,"$200,001 or more",24696,843,642,720,1194,2745,4509,4338,9618,24609,84
2023,02,Auckland Region,Household composition unidentifiable,"$200,001 or more",576,105,36,24,57,81,102,72,90,570,9
2023,02,Auckland Region,Total - household composition,Total stated - total household income,197220,26595,9456,15810,27210,40527,35391,18867,22041,195897,1323
2023,02,Auckland Region,One-family household (with or without other people),Total stated - total household income,126456,14109,4995,7080,16251,29433,26676,13461,13815,125820,639
2023,02,Auckland Region,Two-family household (with or without other people),Total stated - total household income,10773,1686,552,567,777,1551,1926,1524,2124,10710,60
2023,02,Auckland Region,Three or more family household (with or without other people),Total stated - total household income,936,150,48,60,57,81,129,129,276,930,6
2023,02,Auckland Region,Other multi-person household,Total stated - total household income,19419,1731,978,1161,2154,3456,3351,2295,4185,19320,102
2023,02,Auckland Region,One-person household,Total stated - total household income,37407,8322,2772,6837,7764,5661,2928,1233,1395,36918,489
2023,02,Auckland Region,Total stated - household composition,Total stated - total household income,194994,25995,9348,15705,27003,40182,35010,18648,21801,193695,1296
2023,02,Auckland Region,Household composition unidentifiable,Total stated - total household income,2229,597,111,102,204,342,381,219,243,2202,24
2023,02,Auckland Region,Total - household composition,Not stated,10311,1515,450,927,1617,2121,1755,762,855,10002,309
2023,02,Auckland Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,02,Auckland Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,02,Auckland Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,02,Auckland Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,02,Auckland Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,02,Auckland Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,02,Auckland Region,Household composition unidentifiable,Not stated,10311,1515,450,927,1617,2121,1755,762,855,10002,309
2023,03,Waikato Region,Total - household composition,Total - total household income,56046,8184,7368,9795,12243,10779,4917,1299,744,55329,717
2023,03,Waikato Region,One-family household (with or without other people),Total - total household income,32004,3423,2946,5187,7938,7551,3435,891,375,31743,258
2023,03,Waikato Region,Two-family household (with or without other people),Total - total household income,1890,228,138,213,375,444,306,120,51,1878,15
2023,03,Waikato Region,Three or more family household (with or without other people),Total - total household income,90,15,9,9,12,15,18,9,6,90,3
2023,03,Waikato Region,Other multi-person household,Total - total household income,4863,618,582,657,993,1014,606,168,180,4818,42
2023,03,Waikato Region,One-person household,Total - total household income,12453,2967,3048,2850,1917,984,261,57,78,12168,288
2023,03,Waikato Region,Total stated - household composition,Total - total household income,51300,7254,6723,8916,11238,10008,4629,1245,687,50694,606
2023,03,Waikato Region,Household composition unidentifiable,Total - total household income,4746,933,645,879,1002,771,288,54,60,4635,111
2023,03,Waikato Region,Total - household composition,"$20,000 or less",4884,1428,831,801,831,588,225,45,48,4797,87
2023,03,Waikato Region,One-family household (with or without other people),"$20,000 or less",1887,366,144,273,486,414,150,27,12,1872,18
2023,03,Waikato Region,Two-family household (with or without other people),"$20,000 or less",30,9,3,3,3,3,3,3,0,30,0
2023,03,Waikato Region,Three or more family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,03,Waikato Region,Other multi-person household,"$20,000 or less",270,54,39,33,39,48,36,9,9,267,3
2023,03,Waikato Region,One-person household,"$20,000 or less",2688,996,642,489,303,123,33,9,27,2622,66
2023,03,Waikato Region,Total stated - household composition,"$20,000 or less",4875,1428,831,798,828,585,222,45,48,4788,87
2023,03,Waikato Region,Household composition unidentifiable,"$20,000 or less",9,3,0,3,3,0,0,0,0,9,0
2023,03,Waikato Region,Total - household composition,"$20,001-$30,000",4497,1281,993,822,669,441,111,24,30,4374,123
2023,03,Waikato Region,One-family household (with or without other people),"$20,001-$30,000",1323,255,117,210,351,282,69,15,9,1308,15
2023,03,Waikato Region,Two-family household (with or without other people),"$20,001-$30,000",12,3,0,3,6,3,3,3,0,12,0
2023,03,Waikato Region,Three or more family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,03,Waikato Region,Other multi-person household,"$20,001-$30,000",177,42,27,18,30,33,15,6,3,174,3
2023,03,Waikato Region,One-person household,"$20,001-$30,000",2979,978,852,594,282,120,21,6,15,2874,105
2023,03,Waikato Region,Total stated - household composition,"$20,001-$30,000",4494,1281,993,822,669,438,111,24,30,4371,123
2023,03,Waikato Region,Household composition unidentifiable,"$20,001-$30,000",3,0,0,0,3,3,0,0,0,3,0
2023,03,Waikato Region,Total - household composition,"$30,001-$50,000",7578,1347,1266,1623,1716,1050,315,69,54,7434,144
2023,03,Waikato Region,One-family household (with or without other people),"$30,001-$50,000",4206,693,465,786,1158,762,222,45,18,4149,57
2023,03,Waikato Region,Two-family household (with or without other people),"$30,001-$50,000",57,18,0,6,15,12,3,3,0,57,3
2023,03,Waikato Region,Three or more family household (with or without other people),"$30,001-$50,000",0,0,0,0,0,0,0,0,0,0,0
2023,03,Waikato Region,Other multi-person household,"$30,001-$50,000",591,126,78,96,114,102,36,15,18,582,6
2023,03,Waikato Region,One-person household,"$30,001-$50,000",2700,501,717,729,426,174,51,9,15,2625,78
2023,03,Waikato Region,Total stated - household composition,"$30,001-$50,000",7557,1338,1263,1614,1713,1050,315,69,54,7413,144
2023,03,Waikato Region,Household composition unidentifiable,"$30,001-$50,000",24,9,3,6,3,3,0,0,0,21,0
2023,03,Waikato Region,Total - household composition,"$50,001-$70,000",7197,981,999,1545,1770,1293,393,87,54,7119,78
2023,03,Waikato Region,One-family household (with or without other people),"$50,001-$70,000",4329,543,411,843,1179,954,270,57,27,4284,42
2023,03,Waikato Region,Two-family household (with or without other people),"$50,001-$70,000",102,24,9,12,21,24,6,3,3,102,3
2023,03,Waikato Region,Three or more family household (with or without other people),"$50,001-$70,000",0,3,0,0,0,0,0,0,0,0,0
2023,03,Waikato Region,Other multi-person household,"$50,001-$70,000",609,87,87,105,144,99,54,15,12,603,9
2023,03,Waikato Region,One-person household,"$50,001-$70,000",2094,303,492,573,417,204,57,12,9,2070,27
2023,03,Waikato Region,Total stated - household composition,"$50,001-$70,000",7137,957,993,1536,1761,1281,390,84,54,7059,78
2023,03,Waikato Region,Household composition unidentifiable,"$50,001-$70,000",63,24,6,6,12,12,3,0,0,63,0
2023,03,Waikato Region,Total - household composition,"$70,001-$100,000",9387,993,1149,1803,2463,1989,696,147,81,9321,66
2023,03,Waikato Region,One-family household (with or without other people),"$70,001-$100,000",6561,657,702,1212,1794,1500,507,105,42,6519,42
2023,03,Waikato Region,Two-family household (with or without other people),"$70,001-$100,000",264,45,21,33,60,54,30,15,6,264,0
2023,03,Waikato Region,Three or more family household (with or without other people),"$70,001-$100,000",3,3,0,0,3,0,0,0,0,3,0
2023,03,Waikato Region,Other multi-person household,"$70,001-$100,000",1011,108,132,171,237,198,105,21,27,1005,6
2023,03,Waikato Region,One-person household,"$70,001-$100,000",1407,147,273,363,342,213,42,9,3,1398,9
2023,03,Waikato Region,Total stated - household composition,"$70,001-$100,000",9243,960,1131,1782,2436,1965,687,147,81,9186,63
2023,03,Waikato Region,Household composition unidentifiable,"$70,001-$100,000",141,33,18,21,27,24,9,3,0,138,3
2023,03,Waikato Region,Total - household composition,"$100,001-$150,000",10818,903,1026,1611,2685,2760,1353,291,120,10749,69
2023,03,Waikato Region,One-family household (with or without other people),"$100,001-$150,000",8439,627,768,1287,2100,2226,1092,219,72,8394,42
2023,03,Waikato Region,Two-family household (with or without other people),"$100,001-$150,000",489,60,54,51,111,111,75,15,6,486,3
2023,03,Waikato Region,Three or more family household (with or without other people),"$100,001-$150,000",15,3,3,0,0,3,3,0,0,15,0
2023,03,Waikato Region,Other multi-person household,"$100,001-$150,000",1185,117,135,156,285,279,132,39,33,1173,9
2023,03,Waikato Region,One-person household,"$100,001-$150,000",426,30,45,84,117,105,30,6,3,423,3
2023,03,Waikato Region,Total stated - household composition,"$100,001-$150,000",10554,840,1002,1581,2616,2721,1335,285,114,10494,60
2023,03,Waikato Region,Household composition unidentifiable,"$100,001-$150,000",264,63,24,30,72,39,21,3,3,258,6
2023,03,Waikato Region,Total - household composition,"$150,001-$200,000",4734,300,339,561,894,1302,918,291,105,4704,27
2023,03,Waikato Region,One-family household (with or without other people),"$150,001-$200,000",3435,186,240,414,639,969,690,216,60,3417,18
2023,03,Waikato Region,Two-family household (with or without other people),"$150,001-$200,000",444,33,24,54,84,114,87,33,15,441,3
2023,03,Waikato Region,Three or more family household (with or without other people),"$150,001-$200,000",21,3,0,3,3,3,6,3,0,21,0
2023,03,Waikato Region,Other multi-person household,"$150,001-$200,000",570,45,48,51,96,150,117,30,24,567,3
2023,03,Waikato Region,One-person household,"$150,001-$200,000",90,6,12,6,24,24,12,3,0,90,0
2023,03,Waikato Region,Total stated - household composition,"$150,001-$200,000",4557,270,327,528,849,1263,906,288,102,4530,24
2023,03,Waikato Region,Household composition unidentifiable,"$150,001-$200,000",177,30,9,33,48,42,12,3,0,177,3
2023,03,Waikato Region,Total - household composition,"$200,001 or more",3036,216,195,270,408,735,678,303,204,3006,27
2023,03,Waikato Region,One-family household (with or without other people),"$200,001 or more",1824,99,99,165,234,441,438,204,126,1803,21
2023,03,Waikato Region,Two-family household (with or without other people),"$200,001 or more",492,33,30,54,78,126,99,48,18,489,0
2023,03,Waikato Region,Three or more family household (with or without other people),"$200,001 or more",51,6,6,6,6,6,12,6,6,48,3
2023,03,Waikato Region,Other multi-person household,"$200,001 or more",453,39,36,24,48,111,111,39,48,453,0
2023,03,Waikato Region,One-person household,"$200,001 or more",69,3,12,6,12,18,6,3,6,69,3
2023,03,Waikato Region,Total stated - household composition,"$200,001 or more",2886,183,180,252,378,702,663,303,204,2859,27
